id,cvr,beloeb
0,95,3557
1,85,1842
2,162,7096
3,94,4276
4,173,5658
5,179,7019
6,169,8267
7,59,9043
8,153,5294
9,131,1625
10,162,7228
11,15,3468
12,190,5514
13,71,8682
14,152,2084
15,50,640
16,186,9822
17,176,7264
18,98,8576
19,151,3594
20,66,5188
21,76,1987
22,9,3709
23,184,4010
24,33,6166
25,5,629
26,170,3017
27,163,6503
28,148,9000
29,152,7497
30,58,1085
31,47,2562
32,157,3131
33,134,2736
34,108,1801
35,52,2167
36,114,1699
37,160,3813
38,104,5024
39,21,506
40,60,4682
41,55,6535
42,60,2770
43,151,5050
44,26,7113
45,110,772
46,14,8599
47,18,9010
48,16,2570
49,69,8008
50,72,9578
51,169,586
52,133,4123
53,188,7430
54,87,855
55,140,9494
56,156,8859
57,155,3045
58,85,3512
59,127,9884
60,41,7034
61,8,9442
62,71,938
63,66,5431
64,95,6056
65,110,7908
66,137,5174
67,179,1197
68,35,8606
69,145,3098
70,115,4874
71,105,3368
72,71,7779
73,20,3635
74,4,1126
75,109,5124
76,153,821
77,24,9992
78,172,2472
79,185,7523
80,61,4706
81,97,6580
82,46,5908
83,133,3527
84,108,4236
85,193,1647
86,8,9420
87,94,2946
88,190,9723
89,41,3203
90,141,5461
91,110,5843
92,7,5894
93,84,1897
94,61,1628
95,187,9701
96,88,5542
97,125,4334
98,146,5139
99,23,8496
100,192,5793
101,163,1925
102,116,6215
103,185,8868
104,94,1237
105,161,6896
106,148,9045
107,133,7814
108,130,3165
109,190,7177
110,173,7860
111,120,6260
112,142,6468
113,1,1676
114,130,529
115,69,7956
116,59,1328
117,182,8026
118,143,1384
119,18,1760
120,95,7386
121,83,6943
122,35,2823
123,166,6843
124,190,7212
125,147,8952
126,192,7143
127,29,7761
128,54,7628
129,160,5705
130,120,5372
131,163,965
132,96,6210
133,7,8258
134,2,9708
135,169,3841
136,146,3236
137,106,4994
138,12,3984
139,28,921
140,171,4748
141,53,2740
142,32,6267
143,192,6099
144,191,9083
145,96,5795
146,5,3984
147,80,7967
148,163,7224
149,198,7666
150,96,2343
151,93,712
152,30,3098
153,111,2243
154,184,9893
155,154,1429
156,72,1847
157,97,5041
158,110,7093
159,154,6680
160,106,1906
161,16,7008
162,183,8968
163,12,1874
164,49,5240
165,195,4424
166,161,7870
167,155,8947
168,47,5441
169,18,6073
170,181,3790
171,76,752
172,91,683
173,107,9460
174,166,9475
175,94,9607
176,35,5927
177,157,9917
178,92,4007
179,29,1458
180,109,4086
181,48,7738
182,6,9602
183,134,9052
184,197,972
185,155,867
186,178,8291
187,134,6980
188,195,2917
189,89,5218
190,151,3608
191,74,5210
192,28,4703
193,161,5585
194,117,9711
195,0,6897
196,91,797
197,23,9070
198,78,8169
199,187,6760
200,63,5879
201,174,5578
