id,t_type
2031,E
1968,E
2207,B
2560,B
1666,D
2422,D
2307,D
2106,D
415,E
1063,B
744,D
1372,D
315,A
714,C
2642,C
2089,D
908,D
1594,C
1212,E
470,E
1608,A
1635,E
2776,E
858,E
1001,C
2385,D
61,C
1561,B
2141,A
622,B
1820,C
898,C
1054,B
1875,A
1631,D
103,D
2781,C
1011,E
1824,D
2499,A
2802,A
985,A
1245,D
1784,E
978,A
177,B
34,A
2880,B
469,A
1352,B
2566,C
2409,A
627,B
1469,A
1915,D
577,E
742,C
2815,E
575,D
2001,C
491,B
2490,C
814,E
312,E
2524,E
1023,A
1557,B
1203,A
936,E
1479,E
2501,D
1147,C
1577,B
1591,E
349,E
322,A
357,C
1279,E
732,C
791,C
150,D
1452,C
731,E
2096,D
1985,D
2625,D
2272,C
709,D
1412,A
2921,B
1873,A
2360,E
1488,C
1720,B
1250,A
1611,D
2970,E
285,E
792,E
1225,D
2587,B
1789,A
1006,B
369,D
2703,E
1670,A
1161,A
437,B
2059,D
29,B
1274,C
1772,B
2070,E
1701,B
2484,A
293,D
659,B
2209,B
1793,A
189,C
87,D
2930,A
1168,D
2164,E
1639,B
1601,E
1166,E
1316,E
2353,D
2109,C
710,D
2220,A
2797,E
2673,D
2917,E
247,B
2510,E
707,D
2337,D
1630,D
1478,A
434,D
442,A
1786,C
2967,A
681,B
2864,B
1539,C
2929,D
394,D
1984,D
2891,D
1937,A
2254,E
2811,D
1531,A
1832,A
261,D
2966,B
1346,A
1627,E
1315,E
982,E
1155,C
1719,D
476,B
148,E
1050,D
2826,E
2081,E
2342,A
1888,A
597,A
1580,C
539,B
1617,A
473,A
2186,A
1857,D
2286,E
2068,E
2405,B
2716,A
583,A
1817,D
1448,D
400,E
2960,A
1321,E
1560,E
1855,E
2942,D
113,D
1803,C
991,E
1806,A
1517,D
1500,A
140,B
1231,E
1700,B
2989,E
1476,B
1160,C
2137,E
2645,E
2010,A
997,B
801,E
2091,D
2963,B
1988,C
1907,A
769,D
1175,D
2577,C
1654,C
2723,C
1573,B
1080,E
31,D
1420,D
548,A
851,D
549,D
362,B
2266,B
2112,B
2603,B
2161,E
500,E
590,B
1172,E
1707,A
1565,B
1690,A
2745,C
2838,E
2216,C
1677,E
2417,C
1914,A
1949,D
1121,E
2387,A
1141,A
1657,E
2862,A
506,C
1102,C
2411,D
1957,E
2369,A
1123,C
1922,D
761,C
1205,A
1348,B
852,E
2676,E
1975,C
1595,E
2410,B
2139,D
2200,B
621,D
2648,D
2794,D
282,D
1117,D
2145,D
1308,B
196,D
1645,C
1816,A
1343,D
2505,B
2657,C
1008,C
798,A
2731,D
1548,B
990,E
264,D
648,B
1868,C
1003,B
2,D
2631,E
1621,E
2214,E
1484,B
2744,B
2925,C
1268,D
